BDM编码,岗位编码,ExternalId
11269,JS131011021,JS131011021JS131011021
11140,JS131011018,JS131011018JS131011018
11414,JS131011025,JS131011025JS131011025
13633,SD131011013,SD131011013SD131011013
10415,JS131011020,JS131011020JS131011020
10474,JS131011003,JS131011003JS131011003
11292,JS131011021,JS131011021JS131011021
13679,SD131011008,SD131011008SD131011008
11304,JS131011021,JS131011021JS131011021
10423,JS131011020,JS131011020JS131011020
10434,JS131011020,JS131011020JS131011020
10644,JS131011012,JS131011012JS131011012
10649,JS131011012,JS131011012JS131011012
21281,AH131011003,AH131011003AH131011003
1287,AH131011002,AH131011002AH131011002
1288,AH131011002,AH131011002AH131011002
24884,AH131011002,AH131011002AH131011002
1289,AH131011003,AH131011003AH131011003
6360,EN131011005,EN131011005EN131011005
30636,EN131011005,EN131011005EN131011005
6419,EN131011001,EN131011001EN131011001
6503,EN131011003,EN131011003EN131011003
21354,EN131011002,EN131011002EN131011002
6519,EN131011003,EN131011003EN131011003
6530,EN131011003,EN131011003EN131011003
6531,EN131011004,EN131011004EN131011004
13748,SD131011013,SD131011013SD131011013
10365,JS131011022,JS131011022JS131011022
10371,JS131011022,JS131011022JS131011022
10373,JS131011022,JS131011022JS131011022
10377,JS131011022,JS131011022JS131011022
10379,JS131011022,JS131011022JS131011022
10381,JS131011022,JS131011022JS131011022
10383,JS131011022,JS131011022JS131011022
1353,AH131011005,AH131011005AH131011005
1363,AH131011005,AH131011005AH131011005
1397,AH131011001,AH131011001AH131011001
1414,AH131011001,AH131011001AH131011001
13783,SD131011002,SD131011002SD131011002
21021,SD131011010,SD131011010SD131011010
13827,SD131011009,SD131011009SD131011009
13828,SD131011011,SD131011011SD131011011
13850,SD131011010,SD131011010SD131011010
13851,SD131011010,SD131011010SD131011010
13882,SD131011013,SD131011013SD131011013
13900,SD131011013,SD131011013SD131011013
11311,JS131011021,JS131011021JS131011021
10544,JS131011007,JS131011007JS131011007
11418,JS131011025,JS131011025JS131011025
10531,JS131011007,JS131011007JS131011007
21135,JS131011005,JS131011005JS131011005
10493,JS131011002,JS131011002JS131011002
11144,JS131011019,JS131011019JS131011019
11149,JS131011018,JS131011018JS131011018
11150,JS131011018,JS131011018JS131011018
10501,JS131011001,JS131011001JS131011001
10502,JS131011003,JS131011003JS131011003
11385,JS131011008,JS131011008JS131011008
21126,JS131011026,JS131011026JS131011026
21127,JS131011026,JS131011026JS131011026
21006,JS131011008,JS131011008JS131011008
11386,JS131011008,JS131011008JS131011008
10503,JS131011023,JS131011023JS131011023
10504,JS131011002,JS131011002JS131011002
10506,JS131011007,JS131011007JS131011007
11086,JS131011013,JS131011013JS131011013
11088,JS131011013,JS131011013JS131011013
13915,SD131011002,SD131011002SD131011002
13920,SD131011002,SD131011002SD131011002
21003,JS131011005,JS131011005JS131011005
24293,JS131011017,JS131011017JS131011017
10400,JS131011022,JS131011022JS131011022
10347,JS131011015,JS131011015JS131011015
10348,JS131011015,JS131011015JS131011015
13924,SD131011013,SD131011013SD131011013
11425,JS131011025,JS131011025JS131011025
10730,JS131011010,JS131011010JS131011010
10733,JS131011010,JS131011010JS131011010
13944,SD131011011,SD131011011SD131011011
13950,SD131011011,SD131011011SD131011011
13961,SD131011001,SD131011001SD131011001
13984,SD131011004,SD131011004SD131011004
10514,JS131011001,JS131011001JS131011001
10515,JS131011001,JS131011001JS131011001
10355,JS131011016,JS131011016JS131011016
10358,JS131011016,JS131011016JS131011016
10452,JS131011020,JS131011020JS131011020
